"id","name"
1553779224291,MARA
1553779224267,RUVUMA
1553779224268,SINGIDA
1553779224269,MBEYA
1553779224270,TANGA
1553779224272,ARUSHA
1553779224273,MWANZA
1553779224277,KIGOMA
1553779224278,SIMIYU
1553779224280,RUKWA
1553779224281,MANYARA
1553779224282,IRINGA
1553779224283,PWANI
1553779224285,NJOMBE
1553779224287,SHINYANGA
1553779224288,LINDI
1553779224289,MOROGORO
1553779224292,KILIMANJARO
1553779224293,MTWARA
1553779224286,DODOMA
1553779224290,DAR ES SALAAM
1553779224274,TABORA
1553779224275,KAGERA
1553779224279,GEITA
1553835958960,KATAVI
1595421746468,SONGWE
